planet_name,host_star_name,system_star_number,sytem_planet_number,system_moon_number,discovery_year,discovery_facility,planet_controvercial_flag,planet_orbital_period_days,planet_radius_earth_radii,planet_mass_earth_mass,planet_orbit_eccentricity,star_temperature_kelvin,star_radius_solar_radii,star_mass_solar_mass,system_distance_parsecs
Kepler-1306 b,Kepler-1306,1,1,0,2016,Kepler,0,16.29571,1.8,null,0.0,5788.0,0.86,0.97,1107.5
Kepler-1306 b,Kepler-1306,1,1,0,2016,Kepler,0,null,1.867,null,null,5493.0,0.98,null,1107.5
Kepler-1306 b,Kepler-1306,1,1,0,2016,Kepler,0,16.29582626,null,null,null,5503.42,1.02,0.97,1107.5
Kepler-1306 b,Kepler-1306,1,1,0,2016,Kepler,0,16.29595382,1.76,null,0.0,5796.0,0.87,0.97,1107.5
Kepler-1307 b,Kepler-1307,1,1,0,2016,Kepler,0,18.0161227,null,null,null,5603.11,0.84,0.99,1014.62
Kepler-1307 b,Kepler-1307,1,1,0,2016,Kepler,0,18.01623092,null,null,null,5603.11,0.84,0.99,1014.62
Kepler-1307 b,Kepler-1307,1,1,0,2016,Kepler,0,18.01621096,2.47,null,0.0,6245.0,1.06,1.05,1014.62
Kepler-1307 b,Kepler-1307,1,1,0,2016,Kepler,0,18.01630092,null,null,null,5603.11,0.84,0.99,1014.62
Kepler-1307 b,Kepler-1307,1,1,0,2016,Kepler,0,18.0166,3.0,null,0.0,6242.0,1.08,1.1,1014.62
Kepler-1307 b,Kepler-1307,1,1,0,2016,Kepler,0,18.01621096,2.47,null,null,5884.0,1.08,1.06,1014.62
Kepler-1307 b,Kepler-1307,1,1,0,2016,Kepler,0,18.01621096,2.47,null,0.0,6245.0,1.06,1.05,1014.62
Kepler-1307 b,Kepler-1307,1,1,0,2016,Kepler,0,18.0161227,2.39,null,0.0,6245.0,1.06,1.05,1014.62
Kepler-1307 b,Kepler-1307,1,1,0,2016,Kepler,0,18.01621096,2.47,null,0.0,6245.0,1.06,1.05,1014.62
Kepler-1307 b,Kepler-1307,1,1,0,2016,Kepler,0,null,1.684,null,null,6248.0,0.75,null,1014.62
Kepler-1308 b,Kepler-1308,1,1,0,2016,Kepler,0,2.104316,0.96,null,0.0,3696.0,0.48,0.49,112.705
Kepler-1308 b,Kepler-1308,1,1,0,2016,Kepler,0,2.10433534,null,null,null,3505.0,0.48,0.48,112.705
Kepler-1308 b,Kepler-1308,1,1,0,2016,Kepler,0,2.10433812,0.52,null,0.0,3410.0,0.34,0.35,112.705
Kepler-1308 b,Kepler-1308,1,1,0,2016,Kepler,0,2.10433812,0.52,null,null,3468.0,0.34,0.35,112.705
